mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,split4_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,split4_train_f1_score,mean_train_f1_score,std_train_f1_score,rank_train_precision,rank_train_f1_score,rank_train_recall,rank_train_accuracy
0.002422809600830078,0.0003611656993131306,0.229677152633667,0.05799196752336233,manhattan,73,distance,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 73, 'weights': 'distance'})",0.49019607843137253,0.49299719887955185,0.5365168539325843,0.5,0.5,0.5039420262487018,0.01673881040016153,13,0.9978947368421053,0.9978947368421053,0.9971949509116409,0.9964936886395512,0.9964936886395512,0.9971943603749909,0.00062656787370513,0.5410522220667024,0.497077179226849,0.5977402291640612,0.4827102000788937,0.5212191703571014,0.5279598001787216,0.04021795235144227,13,0.9978145129350886,0.9971429370472916,0.9977798638490797,0.9959347463757873,0.9964080047583666,0.9970160129931228,0.0007451163015647603,0.3294929673704401,0.3142340895169976,0.3794155505242299,0.3111660914331614,0.3156072318326757,0.3299831861355009,0.025505231318105656,13,0.9974608468400872,0.9984858658872168,0.9964574683212938,0.9980154011664119,0.9972185306940851,0.9975276225818188,0.0006930202184632275,0.3634410412654167,0.3426919414577014,0.42022403134702896,0.3248026077374383,0.3492403836849572,0.3600800010985085,0.03253594127003128,13,0.9975808406010546,0.9977706330094547,0.997064051733845,0.9969277266858777,0.9967477835243636,0.9972182071109191,0.0003914379976296446,2,1,1,1
0.0016772747039794922,0.00018244259524638804,0.04531040191650391,0.012454199026337496,cosine,88,uniform,"OrderedDict({'metric': 'cosine', 'n_neighbors': 88, 'weights': 'uniform'})",0.43977591036414565,0.4481792717086835,0.4297752808988764,0.45224719101123595,0.4410112359550562,0.4421977779875995,0.007724774792249428,17,0.46035087719298246,0.47017543859649125,0.4642356241234222,0.46213183730715285,0.4649368863955119,0.4643661327231121,0.003322805439914939,0.3277631475484106,0.24968921910451147,0.28233862274321625,0.2853650446235007,0.34696618037135274,0.29842444287819836,0.03470297796743495,17,0.35650664922308395,0.39967314299796947,0.4056613961365478,0.42704586113701787,0.336178415883678,0.3850130930756594,0.033482730209718384,0.2124140919041883,0.20936943084909349,0.20480654743759258,0.20465521999528735,0.2173050519979443,0.20971006843682122,0.0047897299115655465,17,0.22100136755400623,0.23849991755439587,0.22808988632181743,0.23236054830235245,0.22553541261250548,0.22909742646901549,0.0059716673136963,0.2197243671679604,0.20946799338581834,0.2095969540388325,0.1993230268721085,0.22710595587807225,0.21304365946855838,0.009542546418804556,17,0.22659791863409032,0.2502235813382007,0.2400465873562834,0.25028369142976226,0.23359934714334793,0.2401502251803369,0.009281695955900868,19,17,17,17
0.002513408660888672,0.0002914193715612596,0.30394344329833983,0.06935957771484726,manhattan,92,uniform,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 92, 'weights': 'uniform'})",0.4257703081232493,0.45098039215686275,0.43258426966292135,0.45224719101123595,0.43820224719101125,0.43995688162905616,0.010307885390480323,18,0.4554385964912281,0.4554385964912281,0.453015427769986,0.45021037868162694,0.45582047685834504,0.45398469525848284,0.0021346051980698963,0.3276263380523016,0.30388310517638384,0.29604783309516775,0.26572676209648877,0.2726404659104856,0.29318490086616544,0.022292975324978863,19,0.37061368366450664,0.4591140196454115,0.4748128856734257,0.43821321927865925,0.36615613691612525,0.4217819890356257,0.04514060862135383,0.19778240463215843,0.21805841276856544,0.19975635967415617,0.21561540330952328,0.20159847156012647,0.20656221038890593,0.008510772790411153,18,0.21281068991027505,0.22295935940368783,0.21618097474968034,0.21703308548103623,0.21568002912499562,0.21693282773393502,0.0033303436184312493,0.20477448040968915,0.22676665932118698,0.20699620944083214,0.20783023835682557,0.20142832509016037,0.20955918252373884,0.008884363270556798,18,0.22108367349337027,0.2361050786653909,0.22900538081243327,0.2312939836022628,0.22343148125428958,0.22818391956554937,0.005405390320141872,17,18,18,19
0.0021540164947509766,0.0002459172060289464,0.0475801944732666,0.009213615037785814,cosine,18,distance,"OrderedDict({'metric': 'cosine', 'n_neighbors': 18, 'weights': 'distance'})",0.6554621848739496,0.6106442577030813,0.6264044943820225,0.6544943820224719,0.6095505617977528,0.6313111761558556,0.020225991387127225,3,0.9964912280701754,0.9957894736842106,0.9957924263674615,0.9957924263674615,0.9964936886395512,0.996071848625772,0.00034342897959081613,0.7050184385829062,0.6864318616076592,0.6802191985268209,0.648966232011778,0.6608073599129417,0.6762886181284212,0.019646473337144362,1,0.9973215682630078,0.9961966833067123,0.9979870250083195,0.9963681299858074,0.9971123298303498,0.9969971472788395,0.0006534185856047738,0.596735501860222,0.5779271814742082,0.5910230929527397,0.603759758127211,0.5607088966952398,0.5860308862219241,0.015236121601435362,3,0.9968821706609354,0.9981303735303024,0.9958792007540466,0.9975556310514694,0.9968837162501272,0.9970662184493762,0.0007547373558444117,0.6134830975048887,0.5980967197708444,0.6058884884368068,0.6004281845090735,0.5841923104611233,0.6004177601365474,0.009687976702080986,3,0.9970397865344943,0.9971125006230591,0.9968823813483136,0.9969188206898039,0.9969396925478978,0.9969786363487136,8.487466870845436e-05,3,3,2,3
0.0028529644012451174,0.0003712713457657732,0.05369081497192383,0.010102067822389463,cosine,44,distance,"OrderedDict({'metric': 'cosine', 'n_neighbors': 44, 'weights': 'distance'})",0.5882352941176471,0.5882352941176471,0.6039325842696629,0.6179775280898876,0.5561797752808989,0.5909120951751488,0.02060454012183712,6,0.9964912280701754,0.9957894736842106,0.9957924263674615,0.9957924263674615,0.9964936886395512,0.996071848625772,0.00034342897959081613,0.6792473059714438,0.6768738039273824,0.680705445672956,0.6520030783535332,0.5778843932418917,0.6533428054334414,0.03916435103060124,6,0.9973215682630078,0.9961966833067123,0.9979870250083195,0.9963681299858074,0.9971123298303498,0.9969971472788395,0.0006534185856047738,0.4842543404074084,0.4638013831298768,0.4943649315940338,0.5002248461672466,0.4325247347236705,0.47503404720444725,0.024602795126638655,6,0.9968821706609354,0.9981303735303024,0.9958792007540466,0.9975556310514694,0.9968837162501272,0.9970662184493762,0.0007547373558444117,0.5114618203415928,0.5133859544953997,0.530867224554756,0.5284846194797443,0.4663463551614187,0.5101091948065822,0.02322199351756709,6,0.9970397865344943,0.9971125006230591,0.9968823813483136,0.9969188206898039,0.9969396925478978,0.9969786363487136,8.487466870845436e-05,3,3,2,3
0.002104043960571289,0.00022069046776546433,0.06823830604553223,0.01605259546367825,cosine,94,uniform,"OrderedDict({'metric': 'cosine', 'n_neighbors': 94, 'weights': 'uniform'})",0.43977591036414565,0.44537815126050423,0.41853932584269665,0.45224719101123595,0.4297752808988764,0.4371431718754918,0.011859734365738407,20,0.45403508771929824,0.45824561403508773,0.45582047685834504,0.44950911640953717,0.4579242636746143,0.4551069117393765,0.0031869175857523373,0.3295767463333572,0.26811804044840754,0.26479322110099135,0.3031759916658847,0.3071648634378742,0.294565772597303,0.024676015086657968,18,0.3113268052471626,0.3759165482064168,0.3749102398476373,0.35633278118647244,0.2908086307783451,0.3418590010532069,0.03464143906140393,0.207668432552955,0.20898306940796532,0.19541925697044732,0.2102572086057537,0.2076646504113925,0.20599852358970278,0.005376418297343352,20,0.21237057593459296,0.22436270692935636,0.215503732002417,0.21494115193214294,0.21220521164520736,0.2158766756887433,0.004445208692919277,0.2154048258706931,0.21291233815470292,0.19730202434665353,0.20286833250048592,0.21431049025924667,0.20855960222635644,0.007183310111361344,20,0.21413909559398198,0.23155462257603646,0.2241696536418842,0.2257844683514908,0.21315022646681225,0.22175961332604116,0.007073101032840706,20,20,20,18
0.0023423194885253905,0.0002573092394377502,0.3095085620880127,0.07870640658443538,manhattan,77,uniform,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 77, 'weights': 'uniform'})",0.4565826330532213,0.4733893557422969,0.4550561797752809,0.4747191011235955,0.4691011235955056,0.4657696786579801,0.008347826447196945,16,0.47789473684210526,0.4870175438596491,0.48246844319775595,0.4838709677419355,0.47545582047685836,0.4813415024236608,0.004157092292476586,0.38709711353549037,0.35358477326993065,0.32450175642216705,0.3426153116749572,0.38549366478727043,0.3586585239379631,0.024407746866042804,16,0.4693708341230975,0.4728519023672235,0.5038102839352936,0.5027301927375691,0.4910785343553823,0.4879683495037132,0.014511558871255062,0.2521589590613788,0.2499964585904588,0.22637673614240283,0.24414086702768478,0.2399911274730664,0.2425328296589983,0.009148043681530493,16,0.2514947538823484,0.26091305603260756,0.25293190046325315,0.26071203899873496,0.2422207542927483,0.25365450073393847,0.006905254328096544,0.26877714044473844,0.264236392125842,0.23773437815360265,0.24610734172048598,0.2534950140628276,0.25407005330149934,0.011403881669994575,16,0.2693364055313095,0.2807957538790267,0.2750170783614154,0.28313228723181194,0.2621541112650868,0.2740871272537301,0.007650511443799203,16,16,16,16
0.0025083541870117186,0.00044418381788746073,0.28728723526000977,0.06202834613146938,manhattan,92,uniform,"OrderedDict({'metric': 'manhattan', 'n_neighbors': 92, 'weights': 'uniform'})",0.4257703081232493,0.45098039215686275,0.43258426966292135,0.45224719101123595,0.43820224719101125,0.43995688162905616,0.010307885390480323,18,0.4554385964912281,0.4554385964912281,0.453015427769986,0.45021037868162694,0.45582047685834504,0.45398469525848284,0.0021346051980698963,0.3276263380523016,0.30388310517638384,0.29604783309516775,0.26572676209648877,0.2726404659104856,0.29318490086616544,0.022292975324978863,19,0.37061368366450664,0.4591140196454115,0.4748128856734257,0.43821321927865925,0.36615613691612525,0.4217819890356257,0.04514060862135383,0.19778240463215843,0.21805841276856544,0.19975635967415617,0.21561540330952328,0.20159847156012647,0.20656221038890593,0.008510772790411153,18,0.21281068991027505,0.22295935940368783,0.21618097474968034,0.21703308548103623,0.21568002912499562,0.21693282773393502,0.0033303436184312493,0.20477448040968915,0.22676665932118698,0.20699620944083214,0.20783023835682557,0.20142832509016037,0.20955918252373884,0.008884363270556798,18,0.22108367349337027,0.2361050786653909,0.22900538081243327,0.2312939836022628,0.22343148125428958,0.22818391956554937,0.005405390320141872,17,18,18,19
0.0024329662322998048,0.0005843952218050597,0.05915083885192871,0.013196046324186922,cosine,70,distance,"OrderedDict({'metric': 'cosine', 'n_neighbors': 70, 'weights': 'distance'})",0.5266106442577031,0.5266106442577031,0.5589887640449438,0.5617977528089888,0.5308988764044944,0.5409813363547666,0.01595167845311974,9,0.9964912280701754,0.9957894736842106,0.9957924263674615,0.9957924263674615,0.9964936886395512,0.996071848625772,0.00034342897959081613,0.6146145765207945,0.5894107142233078,0.5540963306355842,0.5918099405730591,0.6087067990016647,0.591727672190882,0.02113572362908309,8,0.9973215682630078,0.9961966833067123,0.9979870250083195,0.9963681299858074,0.9971123298303498,0.9969971472788395,0.0006534185856047738,0.37913736562205175,0.37266513541735063,0.4103320176022216,0.4110879027123537,0.3814276081645972,0.39093000590371496,0.016405769004746315,9,0.9968821706609354,0.9981303735303024,0.9958792007540466,0.9975556310514694,0.9968837162501272,0.9970662184493762,0.0007547373558444117,0.4122284198340717,0.4045840883042027,0.43405662621317564,0.4308028020542751,0.4263905204550533,0.4216124913721558,0.01131525672681737,9,0.9970397865344943,0.9971125006230591,0.9968823813483136,0.9969188206898039,0.9969396925478978,0.9969786363487136,8.487466870845436e-05,3,3,2,3
0.004595947265625,0.0018784710735047889,0.10079617500305176,0.007686225778911013,euclidean,82,distance,"OrderedDict({'metric': 'euclidean', 'n_neighbors': 82, 'weights': 'distance'})",0.49019607843137253,0.49019607843137253,0.4803370786516854,0.5056179775280899,0.47752808988764045,0.48877506058603215,0.009853084020401442,14,0.9978947368421053,0.9978947368421053,0.9971949509116409,0.9964936886395512,0.9964936886395512,0.9971943603749909,0.00062656787370513,0.5333148036339449,0.4646464890312914,0.4824228014960774,0.4702970385968205,0.4824664015535818,0.48662950686234313,0.024349732413755917,15,0.999376369995701,0.997276138563021,0.9986204410411953,0.9982137052896738,0.9991389972917066,0.9985251304362596,0.000743974695339795,0.3122554734756234,0.3096873741183553,0.31150562573376706,0.31511344817859527,0.2924634612914365,0.30820507655955554,0.008062513203190867,15,0.9958023439260762,0.9983508136437811,0.9955907440987217,0.9956232807076562,0.9943634017430323,0.9959461168238535,0.0013068081267464634,0.34458411708565134,0.33300081696101097,0.3436501204182921,0.32710697955206663,0.3189420057778543,0.3334568079589751,0.009787015461705934,15,0.997529288296352,0.9977701094407604,0.99705058507895,0.9968692075530977,0.9966812632159625,0.9971800907170245,0.0004079975420242376,1,2,15,1
